"namespace","key","English (source — do not edit)","Turkish (edit this column)"
"ui","ui.changePassword","Change password","Şifreyi değiştir"
"ui","ui.setPassword","Set password","Şifre belirle"
"ui","ui.slipIntoShadows","Slip Into the Shadows","Gölgelere Karışın"
"ui","ui.currentPasswordPlaceholder","Current password","Mevcut şifre"
"ui","ui.newPasswordPlaceholder","New password","Yeni şifre"
"ui","ui.confirmPasswordPlaceholder","Confirm new password","Yeni şifreyi onaylayın"
"ui","ui.nameCannotBeEmpty","Name cannot be empty","İsim boş olamaz"
"ui","ui.failedToUpdateName","Failed to update name","İsim güncellenemedi"
"ui","ui.passwordMinLength","Password must be at least 8 characters","Şifre en az 8 karakter olmalıdır"
"ui","ui.passwordsDoNotMatch","Passwords do not match","Şifreler eşleşmiyor"
"ui","ui.failedToUpdatePassword","Failed to update password","Şifre güncellenemedi"
"ui","ui.passwordUpdated","Password updated","Şifre güncellendi"
"ui","ui.whatShallWeCallYou","What Shall We Call You?","Size nasıl hitap edelim?"
"ui","ui.pledgeYourSoul","Pledge Your Soul (Or Just Your Email)","Ruhunuzu adayın (ya da sadece e-postanızı girin)"
"ui","ui.enchantedPhrase","Enchanted Phrase","Büyülü söz"
"ui","ui.iAgreeTo","I agree to the","Şunu kabul ediyorum:"
"ui","ui.and","and","ve"
"ui","ui.agreeToTerms","I agree to the {terms} and {privacy}.","{terms} ve {privacy} koşullarını kabul ediyorum."
"ui","ui.acceptTermsError","Please accept the Terms of Service and Privacy Policy to continue.","Devam etmek için lütfen Kullanım Koşulları'nı ve Gizlilik Politikası'nı kabul edin."
"ui","ui.invalidCredentials","Invalid email or password","Geçersiz e-posta veya şifre"
"ui","ui.somethingWentWrong","Something went wrong. Please try again.","Bir şeyler yanlış gitti. Lütfen tekrar deneyin."
"ui","ui.channeling","Channeling...","Ruhlarla bağlantı kuruluyor..."
"ui","ui.beginTheRitual","Begin the Ritual","Ritüeli Başlat"
"ui","ui.completeTheRitual","Complete the Ritual","Ritüeli Tamamla"
"ui","ui.letGoogleSpeak","Let Google Speak Your Name","Adınızı Google söylesin"
"ui","ui.alreadyInitiated","Already initiated? Enter the Sanctum","Zaten inisiye oldunuz mu? Tapınağa girin"
"ui","ui.newToTheCraft","New to the craft? Join the Circle of the Chosen","Bu zanaatta yeni misiniz? Seçilmişler Çemberine katılın"
"ui","ui.drawThreeCards","Draw three cards to receive your reading.","Okumanızı almak için üç kart çekin."
"ui","ui.spiritsUnclear","The spirits are unclear. Please draw again.","Ruhlar belirsiz. Lütfen kartları tekrar çekin."
"ui","ui.language","Language","Dil"
"ui","ui.deck","Deck","Deste"
"ui","ui.chooseDeck","Choose Your Deck","Destenizi Seçin"
"ui","ui.deckRiderWaite","Rider-Waite","Rider-Waite"
"ui","ui.deckKlimt","Klimt","Klimt"
"ui","ui.deckGothicVintage","Gothic Vintage","Gotik Vintage"
"ui","ui.selected","Selected","Seçildi"
"ui","ui.selectDeck","Select","Seç"
"ui","ui.signInToSelectDeck","Sign in to choose your deck","Destenizi seçmek için giriş yapın"
"ui","ui.chooseYourReader","Choose Who Reads For You","Size Kimin Okuyacağını Seçin"
"ui","ui.readerSelectionSubtitle","Three readers wait in the dark. They will not introduce themselves — you must choose.","Karanlıkta üç okuyucu bekliyor. Kendilerini tanıtmayacaklar — seçim sizin."
"ui","ui.hoverToLearn","Hover a reader to learn their nature.","Doğalarını öğrenmek için bir okuyucunun üzerine gelin."
"ui","ui.summonReader","Summon {name}","{name}'ı Çağır"
"ui","ui.yourReaderIs","Your Reader","Okuyucunuz"
"ui","ui.changeYourReader","Change Your Reader","Okuyucunuzu Değiştirin"
"ui","ui.beginInitiation","Begin Initiation","İnisiyasyonu Başlat"
"ui","ui.reader","Reader","Okuyucu"
"ui","ui.chooseReader","Choose Your Reader","Okuyucunuzu Seçin"
"ui","ui.deleteAccountHeading","The Point of No Return","Dönüşü Olmayan Nokta"
"ui","ui.deleteAccountTrigger","Break the Pact","Antlaşmayı Boz"
"ui","ui.deleteAccountWarning","This will permanently erase your account, reading history, deck and reader preferences, subscription record, and any linked sign-in providers. This action cannot be undone.","Bu işlem hesabınızı, okuma geçmişinizi, deste ve okuyucu tercihlerinizi, abonelik kaydınızı ve bağlı tüm oturum açma sağlayıcılarını kalıcı olarak siler. Bu işlem geri alınamaz."
"ui","ui.deleteAccountConfirmLabel","Type DELETE to confirm","Onaylamak için DELETE yazın"
"ui","ui.deleteAccountConfirmPlaceholder","DELETE","DELETE"
"ui","ui.deleteAccountButton","Burn the pact forever","Antlaşmayı sonsuza dek yak"
"ui","ui.deleteAccountCancel","Cancel","İptal"
"ui","ui.deleteAccountSubmitting","Burning the pact...","Antlaşma yakılıyor..."
"ui","ui.deleteAccountError","Something went wrong. Please contact privacy@nothingweird.agency","Bir şeyler ters gitti. Lütfen privacy@nothingweird.agency ile iletişime geçin"
"ui","ui.deleteAccountEmailSubject","[theveil] Account deleted","[theveil] Hesap silindi"
"ui","ui.deleteAccountEmailBody","Your account at The Veil has been permanently deleted. This action is irreversible. If you did not request this, contact privacy@nothingweird.agency.","The Veil'deki hesabınız kalıcı olarak silindi. Bu işlem geri alınamaz. Bunu siz talep etmediyseniz privacy@nothingweird.agency ile iletişime geçin."
"ui","ui.renewsOn","Renews on {date}","{date} tarihinde yenilenir"
"ui","ui.accessUntil","Access until {date}","{date} tarihine kadar erişim"
"ui","ui.renewal","Renewal","Yenileme"
"ui","ui.cancelSubscription","Cancel subscription","Aboneliği iptal et"
"ui","ui.resumeSubscription","Resume subscription","Aboneliği sürdür"
"ui","ui.cancelSubscriptionConfirm","Cancel auto-renew? You'll keep access until the end of your paid period.","Otomatik yenileme iptal edilsin mi? Ödediğiniz dönemin sonuna kadar erişiminiz devam eder."
"ui","ui.notFound.title","The veil is closed here","Peçe burada kapalı"
"ui","ui.notFound.description","This page has slipped beyond the veil. Return to the circle and try another path.","Bu sayfa peçenin ardına kaymış. Çembere dönün ve başka bir yol deneyin."
"ui","ui.notFound.backHome","Back to the sanctum","Mabede geri dön"
"cards","cards.arcana-0","The Fool","Deli"
"cards","cards.arcana-1","The Magician","Büyücü"
"cards","cards.arcana-2","The High Priestess","Yüksek Rahibe"
"cards","cards.arcana-3","The Empress","İmparatoriçe"
"cards","cards.arcana-4","The Emperor","İmparator"
"cards","cards.arcana-5","The Hierophant","Aziz"
"cards","cards.arcana-6","The Lovers","Aşıklar"
"cards","cards.arcana-7","The Chariot","Savaş Arabası"
"cards","cards.arcana-8","Justice","Adalet"
"cards","cards.arcana-9","The Hermit","Ermiş"
"cards","cards.arcana-10","Wheel of Fortune","Kader Çarkı"
"cards","cards.arcana-11","Strength","Güç"
"cards","cards.arcana-12","The Hanged Man","Asılan Adam"
"cards","cards.arcana-13","Death","Ölüm"
"cards","cards.arcana-14","Temperance","Ölçülülük"
"cards","cards.arcana-15","The Devil","Şeytan"
"cards","cards.arcana-16","The Tower","Kule"
"cards","cards.arcana-17","The Star","Yıldız"
"cards","cards.arcana-18","The Moon","Ay"
"cards","cards.arcana-19","The Sun","Güneş"
"cards","cards.arcana-20","Judgement","Mahkeme"
"cards","cards.arcana-21","The World","Dünya"
"cards","cards.chalices-1","Ace of Chalices","Kupa Ası"
"cards","cards.chalices-2","Two of Chalices","Kupa İkilisi"
"cards","cards.chalices-3","Three of Chalices","Kupa Üçlüsü"
"cards","cards.chalices-4","Four of Chalices","Kupa Dörtlüsü"
"cards","cards.chalices-5","Five of Chalices","Kupa Beşlisi"
"cards","cards.chalices-6","Six of Chalices","Kupa Altılısı"
"cards","cards.chalices-7","Seven of Chalices","Kupa Yedilisi"
"cards","cards.chalices-8","Eight of Chalices","Kupa Sekizlisi"
"cards","cards.chalices-9","Nine of Chalices","Kupa Dokuzlusu"
"cards","cards.chalices-10","Ten of Chalices","Kupa Onlusu"
"cards","cards.chalices-page","Page of Chalices","Kupa Prensi"
"cards","cards.chalices-knight","Knight of Chalices","Kupa Şövalyesi"
"cards","cards.chalices-queen","Queen of Chalices","Kupa Kraliçesi"
"cards","cards.chalices-king","King of Chalices","Kupa Kralı"
"cards","cards.swords-1","Ace of Swords","Kılıç Ası"
"cards","cards.swords-2","Two of Swords","Kılıç İkilisi"
"cards","cards.swords-3","Three of Swords","Kılıç Üçlüsü"
"cards","cards.swords-4","Four of Swords","Kılıç Dörtlüsü"
"cards","cards.swords-5","Five of Swords","Kılıç Beşlisi"
"cards","cards.swords-6","Six of Swords","Kılıç Altılısı"
"cards","cards.swords-7","Seven of Swords","Kılıç Yedilisi"
"cards","cards.swords-8","Eight of Swords","Kılıç Sekizlisi"
"cards","cards.swords-9","Nine of Swords","Kılıç Dokuzlusu"
"cards","cards.swords-10","Ten of Swords","Kılıç Onlusu"
"cards","cards.swords-page","Page of Swords","Kılıç Prensi"
"cards","cards.swords-knight","Knight of Swords","Kılıç Şövalyesi"
"cards","cards.swords-queen","Queen of Swords","Kılıç Kraliçesi"
"cards","cards.swords-king","King of Swords","Kılıç Kralı"
"cards","cards.pentacles-1","Ace of Pentacles","Tılsım Ası"
"cards","cards.pentacles-2","Two of Pentacles","Tılsım İkilisi"
"cards","cards.pentacles-3","Three of Pentacles","Tılsım Üçlüsü"
"cards","cards.pentacles-4","Four of Pentacles","Tılsım Dörtlüsü"
"cards","cards.pentacles-5","Five of Pentacles","Tılsım Beşlisi"
"cards","cards.pentacles-6","Six of Pentacles","Tılsım Altılısı"
"cards","cards.pentacles-7","Seven of Pentacles","Tılsım Yedilisi"
"cards","cards.pentacles-8","Eight of Pentacles","Tılsım Sekizlisi"
"cards","cards.pentacles-9","Nine of Pentacles","Tılsım Dokuzlusu"
"cards","cards.pentacles-10","Ten of Pentacles","Tılsım Onlusu"
"cards","cards.pentacles-page","Page of Pentacles","Tılsım Prensi"
"cards","cards.pentacles-knight","Knight of Pentacles","Tılsım Şövalyesi"
"cards","cards.pentacles-queen","Queen of Pentacles","Tılsım Kraliçesi"
"cards","cards.pentacles-king","King of Pentacles","Tılsım Kralı"
"cards","cards.wands-1","Ace of Wands","Asa Ası"
"cards","cards.wands-2","Two of Wands","Asa İkilisi"
"cards","cards.wands-3","Three of Wands","Asa Üçlüsü"
"cards","cards.wands-4","Four of Wands","Asa Dörtlüsü"
"cards","cards.wands-5","Five of Wands","Asa Beşlisi"
"cards","cards.wands-6","Six of Wands","Asa Altılısı"
"cards","cards.wands-7","Seven of Wands","Asa Yedilisi"
"cards","cards.wands-8","Eight of Wands","Asa Sekizlisi"
"cards","cards.wands-9","Nine of Wands","Asa Dokuzlusu"
"cards","cards.wands-10","Ten of Wands","Asa Onlusu"
"cards","cards.wands-page","Page of Wands","Asa Prensi"
"cards","cards.wands-knight","Knight of Wands","Asa Şövalyesi"
"cards","cards.wands-queen","Queen of Wands","Asa Kraliçesi"
"cards","cards.wands-king","King of Wands","Asa Kralı"
"readings","readings.arcana-0.keywords","beginnings, innocence, spontaneity, free spirit","başlangıçlar, masumiyet, içtenlik, özgür ruh"
"readings","readings.arcana-0.meaning","The Fool stands at the edge of a cliff with nothing but trust. New beginnings, a blank page, a step into the unknown. Something is about to start — and it asks you not to overthink it.","Deli, bir uçurumun kenarında yalnızca güvenle duruyor. Yeni başlangıçlar, boş bir sayfa, bilinmeyene bir adım. Bir şey başlamak üzere — ve senden fazla düşünmemeni istiyor."
"readings","readings.arcana-0.past","There was a leap — a moment when you chose the unknown over the safe. That decision, reckless or brave, set everything in motion.","Bir atlayış vardı — güvenli olan yerine bilinmeyeni seçtiğin bir an. O karar, pervasız ya da cesur, her şeyi harekete geçirdi."
"readings","readings.arcana-0.present","A fresh start is calling. The details aren't clear yet, and that's the point. Stop planning and take the step.","Yeni bir başlangıç seni çağırıyor. Ayrıntılar henüz net değil, ve asıl mesele de bu. Planlamayı bırak, adımı at."
"readings","readings.arcana-0.future","Something entirely new is coming. You won't be able to prepare for it — and you won't need to. Meet it with open hands.","Tamamen yeni bir şey geliyor. Buna hazırlanamayacaksın — ve hazırlanman gerekmeyecek. Açık ellerle karşıla."
"readings","readings.arcana-1.keywords","manifestation, willpower, skill, resourcefulness","tezahür, irade, beceri, beceriklilik"
"readings","readings.arcana-1.meaning","The Magician has every tool on the table and knows exactly how to use them. This is about focus, skill, and turning intention into action. You have what you need — now use it.","Büyücü'nün masasında her araç var ve onları tam olarak nasıl kullanacağını biliyor. Bu odaklanma, beceri ve niyeti eyleme dönüştürmekle ilgili. İhtiyacın olan sende — şimdi kullan."
"readings","readings.arcana-1.past","A time when everything clicked — skill met opportunity and something real was created. That ability hasn't gone anywhere.","Her şeyin yerine oturduğu bir dönem — beceri fırsatla buluştu ve gerçek bir şey yaratıldı. O yetenek hiçbir yere gitmedi."
"readings","readings.arcana-1.present","All the pieces are in front of you. This is not the time for doubt or hesitation — it's the time to act with precision.","Tüm parçalar önünde. Şüphe ya da tereddüt zamanı değil — kesinlikle hareket etme zamanı."
"readings","readings.arcana-1.future","A moment is coming when your skills will be tested and proven. What you've been learning is about to become very useful.","Yeteneklerinin sınanıp kanıtlanacağı bir an yaklaşıyor. Öğrenmekte olduğun şey çok yakında çok faydalı olacak."
"readings","readings.arcana-2.keywords","intuition, mystery, inner knowledge, subconscious","sezgi, gizem, içsel bilgi, bilinçaltı"
"readings","readings.arcana-2.meaning","The High Priestess sits between what's seen and what's hidden. She doesn't speak loudly — she doesn't need to. The answer is already inside you, waiting for you to get quiet enough to hear it.","Yüksek Rahibe görülen ile saklı olan arasında oturur. Yüksek sesle konuşmaz — buna ihtiyacı yoktur. Cevap zaten içinde, duyabilecek kadar sessizleşmeni bekliyor."
"readings","readings.arcana-2.past","There was a time you knew something without knowing how. That gut feeling guided you well. You've second-guessed your intuition since — don't.","Nasıl bildiğini bilmeden bir şeyi bildiğin bir zaman vardı. O içgüdü seni iyi yönlendirdi. O zamandan beri sezgini sorgular oldun — sorgulama."
"readings","readings.arcana-2.present","Stop looking for answers outside yourself. The information you need is already here — in your gut, in your dreams, in the silence between thoughts.","Dışarıda cevap aramayı bırak. İhtiyacın olan bilgi zaten burada — içgüdünde, rüyalarında, düşünceler arasındaki sessizlikte."
"readings","readings.arcana-2.future","Something hidden will surface. Not through effort, but through stillness. Pay attention to what comes to you unbidden.","Gizli bir şey yüzeye çıkacak. Çabayla değil, dinginlikle. Sana davetsizce gelene dikkat et."
"readings","readings.arcana-3.keywords","abundance, nurturing, fertility, creativity","bolluk, besleme, bereket, yaratıcılık"
"readings","readings.arcana-3.meaning","The Empress is the garden in full bloom. She represents growth, sensuality, and the kind of creation that comes from tending something with care. What you nurture will thrive.","İmparatoriçe tam çiçek açmış bahçedir. Büyümeyi, duyarlılığı ve özenle bakıldığında gelen türden yaratımı temsil eder. Beslediğin şey gelişecek."
"readings","readings.arcana-3.past","A fertile period — something was growing and you helped it along. That nurturing energy, whether directed at a person or a project, produced something lasting.","Verimli bir dönem — bir şey büyüyordu ve sen ona yardım ediyordun. O besleyici enerji, bir kişiye ya da bir projeye yönelik, kalıcı bir şey üretti."
"readings","readings.arcana-3.present","Create. Tend. Nourish. Whatever you give your attention to right now will grow. This is not a time for austerity — let things be lush.","Yarat. Bak. Besle. Şu anda neye dikkat verirsen o büyüyecek. Bu kısıtlama zamanı değil — bırak her şey bol olsun."
"readings","readings.arcana-3.future","Abundance is building. Something you've been caring for is about to reward that patience. The harvest is closer than you think.","Bolluk birikiyor. Özen gösterdiğin bir şey bu sabrı ödüllendirmek üzere. Hasat sandığından daha yakın."
"readings","readings.arcana-4.keywords","authority, structure, stability, discipline","otorite, yapı, istikrar, disiplin"
"readings","readings.arcana-4.meaning","The Emperor builds order from chaos. Stone walls, clear rules, a firm hand. This card is about taking control — not emotionally, but structurally. Set the boundary. Make the decision.","İmparator kaostan düzen kurar. Taş duvarlar, net kurallar, sağlam bir el. Bu kart kontrolü almakla ilgili — duygusal olarak değil, yapısal olarak. Sınırı çiz. Kararı ver."
"readings","readings.arcana-4.past","Structure was imposed — by you or on you. A father figure, a system, a set of rules shaped how you operate. That framework still holds weight.","Yapı dayatıldı — ya senin tarafından ya da sana. Bir baba figürü, bir sistem, bir kurallar dizisi nasıl işlediğini şekillendirdi. O çerçeve hâlâ ağırlığını korur."
"readings","readings.arcana-4.present","The situation needs leadership, not discussion. Establish order. Be the one who draws the line and holds it.","Durum liderlik istiyor, tartışma değil. Düzen kur. Çizgiyi çekip onu tutan kişi ol."
"readings","readings.arcana-4.future","You're moving toward a position of greater authority. The discipline you practice now is building something solid for later.","Daha büyük bir otorite konumuna doğru ilerliyorsun. Şimdi uyguladığın disiplin daha sonrası için sağlam bir şey inşa ediyor."
"readings","readings.arcana-5.keywords","tradition, guidance, conformity, mentorship","gelenek, rehberlik, uyum, mentorluk"
"readings","readings.arcana-5.meaning","The Hierophant represents the wisdom that comes through lineage — teachers, traditions, institutions. Sometimes you need to learn the rules before you break them. This card says: find the teacher.","Aziz soy aracılığıyla gelen bilgeliği temsil eder — öğretmenler, gelenekler, kurumlar. Bazen kuralları yıkmadan önce öğrenmen gerekir. Bu kart der ki: öğretmeni bul."
"readings","readings.arcana-5.past","A mentor, a tradition, or a belief system gave you a foundation. Whether you still follow it or pushed against it, it shaped your path.","Bir mentor, bir gelenek ya da bir inanç sistemi sana bir temel verdi. Hâlâ ona uyuyor olsan da ona karşı çıkmış olsan da, yolunu şekillendirdi."
"readings","readings.arcana-5.present","Seek guidance from someone who has walked this road before. There's no shame in learning from established wisdom — not everything needs to be reinvented.","Bu yoldan önce yürümüş birinden rehberlik iste. Yerleşik bilgelikten öğrenmekte utanılacak bir şey yok — her şeyin yeniden icat edilmesi gerekmez."
"readings","readings.arcana-5.future","You'll be called to pass on what you know. The role of teacher or guide is forming ahead of you, whether you planned for it or not.","Bildiğini aktarmaya çağrılacaksın. Öğretmen ya da rehber rolü, planlamış olsan da olmasan da önünde şekilleniyor."
"readings","readings.arcana-6.keywords","love, choice, union, values","sevgi, seçim, birlik, değerler"
"readings","readings.arcana-6.meaning","The Lovers is less about romance and more about choice. Two paths, two forces, two truths — and you must choose. The real question: what do you value enough to commit to?","Aşıklar romantizmden çok seçimle ilgilidir. İki yol, iki güç, iki gerçek — ve seçmen gerekiyor. Asıl soru: kendini adayacak kadar neyi değerli buluyorsun?"
"readings","readings.arcana-6.past","A defining choice was made — one that aligned you with someone or something at a deep level. That decision still echoes.","Belirleyici bir seçim yapıldı — seni derin bir düzeyde biriyle ya da bir şeyle hizalayan bir seçim. O karar hâlâ yankılanıyor."
"readings","readings.arcana-6.present","You're facing a choice that touches who you are at the core. Don't choose what's easy. Choose what's true.","Özünde kim olduğuna dokunan bir seçimle yüz yüzesin. Kolay olanı seçme. Gerçek olanı seç."
"readings","readings.arcana-6.future","A significant union or decision is approaching. It will ask you to be honest about what you actually want — not what you think you should want.","Önemli bir birlik ya da karar yaklaşıyor. Gerçekten ne istediğin konusunda dürüst olmanı isteyecek — istemen gerektiğini düşündüğünü değil."
"readings","readings.arcana-7.keywords","determination, willpower, victory, control","kararlılık, irade, zafer, kontrol"
"readings","readings.arcana-7.meaning","The Chariot moves forward through sheer force of will. Two opposing forces, one driver. This isn't gentle progress — it's controlled aggression toward a goal. Hold the reins tight.","Savaş Arabası saf irade gücüyle ilerler. İki karşıt güç, tek sürücü. Bu nazik bir ilerleme değil — hedefe yönelik kontrollü bir saldırganlıktır. Dizginleri sıkı tut."
"readings","readings.arcana-7.past","You pushed through something by sheer determination. The victory wasn't handed to you — you wrestled it into existence.","Bir şeyi salt kararlılıkla aştın. Zafer sana verilmedi — onu varlığa zorla soktun."
"readings","readings.arcana-7.present","Conflict is pulling you in two directions. The only way forward is to master both forces and drive. Hesitate and you stall.","Çatışma seni iki yöne çekiyor. İleriye giden tek yol her iki gücü de ustalaştırıp sürmekten geçiyor. Tereddüt edersen durursun."
"readings","readings.arcana-7.future","A breakthrough is coming, but it won't be effortless. You'll need every ounce of focus and willpower. The good news: you have it.","Bir atılım geliyor, ama zahmetsiz olmayacak. Her gram odaklanmaya ve iradeye ihtiyacın olacak. İyi haber: bunlara sahipsin."
"readings","readings.arcana-8.keywords","justice, fairness, truth, accountability","adalet, hakkaniyet, gerçek, hesap verebilirlik"
"readings","readings.arcana-8.meaning","Justice holds the scales and the sword. This is about cause and effect, plain and simple. What you put out comes back. The truth will be weighed — and the verdict will be fair.","Adalet teraziyi ve kılıcı tutar. Bu sade biçimde neden ve sonuçla ilgilidir. Verdiğin geri döner. Gerçek tartılacak — ve karar adil olacak."
"readings","readings.arcana-8.past","A decision was made that balanced the scales. Something was settled — fairly or not — and the consequences played out as they should.","Teraziyi dengeleyen bir karar verildi. Bir şey halledildi — adilce ya da değil — ve sonuçları olması gerektiği gibi ortaya çıktı."
"readings","readings.arcana-8.present","Be honest. With yourself, with others. A situation demands fairness and clear-eyed truth. The scales are watching.","Dürüst ol. Kendine, başkalarına. Bir durum hakkaniyet ve berrak gerçek talep ediyor. Terazi izliyor."
"readings","readings.arcana-8.future","A reckoning is coming — not punishment, but balance. What's been out of alignment will be corrected. Trust the process.","Bir hesaplaşma geliyor — ceza değil, denge. Hizada olmayan düzeltilecek. Sürece güven."
"readings","readings.arcana-9.keywords","solitude, introspection, guidance, wisdom","yalnızlık, iç gözlem, rehberlik, bilgelik"
"readings","readings.arcana-9.meaning","The Hermit climbs alone, lantern in hand. This isn't loneliness — it's chosen solitude. Sometimes the answers only come when you step away from the noise and walk your own path for a while.","Ermiş yalnız tırmanır, elinde fener. Bu yalnızlık değil — seçilmiş tenhalıktır. Bazen cevaplar ancak gürültüden uzaklaşıp bir süre kendi yolunda yürüdüğünde gelir."
"readings","readings.arcana-9.past","A period of withdrawal taught you something no one else could. That time alone — voluntary or not — gave you clarity you still carry.","Bir geri çekilme dönemi, sana başka kimsenin öğretemeyeceği bir şey öğretti. O yalnız zaman — gönüllü ya da değil — sana hâlâ taşıdığın netliği verdi."
"readings","readings.arcana-9.present","Pull back. The crowd doesn't have your answers right now. Take the lantern and go inward. What you find in the silence will be worth the solitude.","Geri çekil. Kalabalığın şu anda sana verecek cevabı yok. Feneri al ve içine yönel. Sessizlikte bulacakların yalnızlığa değecek."
"readings","readings.arcana-9.future","A period of necessary solitude is ahead. It may not feel comfortable, but it will give you the clarity you've been missing.","Gerekli bir yalnızlık dönemi yaklaşıyor. Rahat gelmeyebilir, ama kaçırdığın netliği sana verecek."
"readings","readings.arcana-10.keywords","cycles, fate, turning point, change","döngüler, kader, dönüm noktası, değişim"
"readings","readings.arcana-10.meaning","The Wheel turns — always has, always will. What's up comes down, what's down comes up. This card is a reminder that nothing is permanent. The only constant is the turning itself.","Çark döner — hep döndü, hep dönecek. Yukarıdaki aşağı iner, aşağıdaki yukarı çıkar. Bu kart hiçbir şeyin kalıcı olmadığını hatırlatır. Tek sabit dönmenin kendisidir."
"readings","readings.arcana-10.past","A major shift changed everything — fortune turned and your circumstances flipped. That cycle completed itself whether you were ready or not.","Büyük bir kayma her şeyi değiştirdi — talih döndü ve koşulların altüst oldu. O döngü hazır olsan da olmasan da kendini tamamladı."
"readings","readings.arcana-10.present","Things are in motion. You can't stop the wheel, but you can choose how you ride it. Something is shifting right now.","İşler harekete geçmiş durumda. Çarkı durduramazsın ama ona nasıl bineceğini seçebilirsin. Şu anda bir şey değişiyor."
"readings","readings.arcana-10.future","A turn of fate is approaching. Luck, circumstance, timing — something is about to rotate in your favor. Be ready to move.","Bir kader dönüşü yaklaşıyor. Şans, koşul, zamanlama — bir şey lehine dönmek üzere. Harekete geçmeye hazır ol."
"readings","readings.arcana-11.keywords","courage, patience, inner strength, compassion","cesaret, sabır, içsel güç, şefkat"
