"namespace","key","English (source — do not edit)","Russian (edit this column)"
"readings","readings.arcana-2.meaning","The High Priestess sits between what's seen and what's hidden. She doesn't speak loudly — she doesn't need to. The answer is already inside you, waiting for you to get quiet enough to hear it.","Верховная Жрица сидит между двумя столпами — видимым и незримым. Она не говорит громко. Ответ уже внутри, но нужно достаточно затихнуть, чтобы его услышать."
"readings","readings.arcana-2.past","There was a time you knew something without knowing how. That gut feeling guided you well. You've second-guessed your intuition since — don't.","Было время, когда интуиция говорила ясно, и довериться ей оказалось правильным. Это внутреннее знание никуда не делось."
"readings","readings.arcana-2.present","Stop looking for answers outside yourself. The information you need is already here — in your gut, in your dreams, in the silence between thoughts.","Что-то скрыто, или что-то ещё не готово выйти на поверхность. Не торопи. Замри, обращай внимание на сны и внутренние ощущения."
"readings","readings.arcana-2.future","Something hidden will surface. Not through effort, but through stillness. Pay attention to what comes to you unbidden.","Скрытое выйдет на свет. То, что сейчас неясно, скоро обретёт смысл — доверяй процессу, даже когда полная картина не видна."
"readings","readings.arcana-3.keywords","abundance, nurturing, fertility, creativity","изобилие, забота, плодородие, природа"
"readings","readings.arcana-3.meaning","The Empress is the garden in full bloom. She represents growth, sensuality, and the kind of creation that comes from tending something with care. What you nurture will thrive.","Императрица — это жизнь в полном цвету. Рост, комфорт, творчество — сейчас почва плодородна. Она говорит: заботься о том, что любишь, и оно вырастет."
"readings","readings.arcana-3.past","A fertile period — something was growing and you helped it along. That nurturing energy, whether directed at a person or a project, produced something lasting.","Период роста и изобилия пустил корни, которые питают до сих пор. Что-то было создано или окружено заботой — и расцвело."
"readings","readings.arcana-3.present","Create. Tend. Nourish. Whatever you give your attention to right now will grow. This is not a time for austerity — let things be lush.","Вокруг тебя больше, чем видится. Замедлись, впитай красоту вокруг. Питай то, что важно — оно готово расти."
"readings","readings.arcana-3.future","Abundance is building. Something you've been caring for is about to reward that patience. The harvest is closer than you think.","Приближается урожай. То, о чём заботились с любовью, принесёт плоды. Впереди рост, творчество и изобилие."
"readings","readings.arcana-4.keywords","authority, structure, stability, discipline","власть, структура, стабильность, лидерство"
"readings","readings.arcana-4.meaning","The Emperor builds order from chaos. Stone walls, clear rules, a firm hand. This card is about taking control — not emotionally, but structurally. Set the boundary. Make the decision.","Император строит порядок из хаоса. Дисциплина, границы, чёткие решения. Эта карта о том, чтобы взять управление — не агрессией, а спокойной уверенностью того, кто знает, что нужно делать."
"readings","readings.arcana-4.past","Structure was imposed — by you or on you. A father figure, a system, a set of rules shaped how you operate. That framework still holds weight.","Структура была выстроена — тобой или для тебя. Правила, дисциплина, авторитет сформировали основу, на которой всё стоит сейчас."
"readings","readings.arcana-4.present","The situation needs leadership, not discussion. Establish order. Be the one who draws the line and holds it.","Ситуация требует твёрдой руки. Установи границы, прими решение, возьми ответственность. Власть у тебя есть."
"readings","readings.arcana-4.future","You're moving toward a position of greater authority. The discipline you practice now is building something solid for later.","Формируется позиция большей стабильности и влияния. Фундамент, который закладывается сейчас, выдержит. Строй с убеждённостью."
"readings","readings.arcana-5.keywords","tradition, guidance, conformity, mentorship","традиция, мудрость, наставничество, духовное учение"
"readings","readings.arcana-5.meaning","The Hierophant represents the wisdom that comes through lineage — teachers, traditions, institutions. Sometimes you need to learn the rules before you break them. This card says: find the teacher.","Иерофант — хранитель устоявшейся мудрости. Учитель, традиция, система, прошедшая проверку временем. Иногда ответы не новы — они передаются из поколения в поколение."
"readings","readings.arcana-5.past","A mentor, a tradition, or a belief system gave you a foundation. Whether you still follow it or pushed against it, it shaped your path.","Учитель или традиция дали основу, которая до сих пор формирует мышление. Те уроки — принятые или отвергнутые — стали частью тебя."
"readings","readings.arcana-5.present","Seek guidance from someone who has walked this road before. There's no shame in learning from established wisdom — not everything needs to be reinvented.","Обратись к устоявшемуся знанию. Наставник, практика, проверенный путь хранят то, что нужно сейчас. Не всё нужно изобретать заново."
"readings","readings.arcana-5.future","You'll be called to pass on what you know. The role of teacher or guide is forming ahead of you, whether you planned for it or not.","Приближается роль учителя или проводника. Опыт, который накоплен, готовится послужить другим."
"readings","readings.arcana-6.keywords","love, choice, union, values","любовь, союз, выбор, согласие"
"readings","readings.arcana-6.meaning","The Lovers is less about romance and more about choice. Two paths, two forces, two truths — and you must choose. The real question: what do you value enough to commit to?","Влюблённые — это не просто романтика. Это момент, когда две силы встречаются и требуют честного выбора. Карта о союзе, притяжении и мужестве быть уязвимым."
"readings","readings.arcana-6.past","A defining choice was made — one that aligned you with someone or something at a deep level. That decision still echoes.","Судьбоносный выбор или глубокая связь определили направление. Тот момент единения до сих пор звучит в жизни."
"readings","readings.arcana-6.present","You're facing a choice that touches who you are at the core. Don't choose what's easy. Choose what's true.","Перед тобой значимый выбор — не только головой, но и сердцем. Следуй за тем, что созвучно глубинной правде."
"readings","readings.arcana-6.future","A significant union or decision is approaching. It will ask you to be honest about what you actually want — not what you think you should want.","Приближается мощная связь или решение, которое всё изменит. Будь это человек или собственный путь — оно преобразит."
"readings","readings.arcana-7.keywords","determination, willpower, victory, control","воля, движение, победа, контроль"
"readings","readings.arcana-7.meaning","The Chariot moves forward through sheer force of will. Two opposing forces, one driver. This isn't gentle progress — it's controlled aggression toward a goal. Hold the reins tight.","Колесница несётся вперёд, управляемая чистой волей. Два сфинкса тянут в разные стороны, но возничий держит курс. Победа через дисциплину, не через силу."
"readings","readings.arcana-7.past","You pushed through something by sheer determination. The victory wasn't handed to you — you wrestled it into existence.","Была победа, добытая упорством и самоконтролем. Период, когда внутренние противоречия удалось обуздать и направить в одну сторону."
"readings","readings.arcana-7.present","Conflict is pulling you in two directions. The only way forward is to master both forces and drive. Hesitate and you stall.","Время собрать волю и двигаться. Препятствия есть, но они не остановят — если держать поводья крепко и не сворачивать."
"readings","readings.arcana-7.future","A breakthrough is coming, but it won't be effortless. You'll need every ounce of focus and willpower. The good news: you have it.","Впереди победа, но она потребует дисциплины. Успех придёт к тем, кто не теряет фокус, даже когда тянет в разные стороны."
"readings","readings.arcana-8.keywords","justice, fairness, truth, accountability","справедливость, истина, равновесие, последствия"
"readings","readings.arcana-8.meaning","Justice holds the scales and the sword. This is about cause and effect, plain and simple. What you put out comes back. The truth will be weighed — and the verdict will be fair.","Справедливость держит весы и меч. Здесь нет места иллюзиям — только честный взгляд на вещи. Каждое действие имеет последствия, и сейчас время встретиться с правдой."
"readings","readings.arcana-8.past","A decision was made that balanced the scales. Something was settled — fairly or not — and the consequences played out as they should.","Решение, принятое по совести, определило дальнейшее. Справедливость — полученная или отданная — стала фундаментом того, что есть сейчас."
"readings","readings.arcana-8.present","Be honest. With yourself, with others. A situation demands fairness and clear-eyed truth. The scales are watching.","Пора взглянуть на ситуацию честно. Без оправданий, без иллюзий. Истина может быть неудобной, но именно она освобождает."
"readings","readings.arcana-8.future","A reckoning is coming — not punishment, but balance. What's been out of alignment will be corrected. Trust the process.","Равновесие восстановится. То, что посеяно, будет пожато — и это касается и хорошего, и трудного. Справедливость приближается."
"readings","readings.arcana-9.keywords","solitude, introspection, guidance, wisdom","уединение, поиск, мудрость, внутренний свет"
"readings","readings.arcana-9.meaning","The Hermit climbs alone, lantern in hand. This isn't loneliness — it's chosen solitude. Sometimes the answers only come when you step away from the noise and walk your own path for a while.","Отшельник стоит на вершине горы с фонарём в руке. Свет направлен не наружу, а внутрь. Время уйти от шума и найти ответы в тишине."
"readings","readings.arcana-9.past","A period of withdrawal taught you something no one else could. That time alone — voluntary or not — gave you clarity you still carry.","Период одиночества или отступления от мира принёс ясность. Отойти в сторону оказалось не слабостью, а необходимостью."
"readings","readings.arcana-9.present","Pull back. The crowd doesn't have your answers right now. Take the lantern and go inward. What you find in the silence will be worth the solitude.","Нужно побыть наедине с собой. Ответы не придут от других — они ждут в тишине. Отключись от внешнего шума."
"readings","readings.arcana-9.future","A period of necessary solitude is ahead. It may not feel comfortable, but it will give you the clarity you've been missing.","Впереди период осмысления. Путь потребует уединения, но именно там обнаружится то, что давно искалось."
"readings","readings.arcana-10.keywords","cycles, fate, turning point, change","судьба, перемены, циклы, поворот"
"readings","readings.arcana-10.meaning","The Wheel turns — always has, always will. What's up comes down, what's down comes up. This card is a reminder that nothing is permanent. The only constant is the turning itself.","Колесо Фортуны вращается, не спрашивая разрешения. Подъёмы и спады — часть цикла. Контролировать колесо нельзя, но можно выбрать, как на нём держаться."
"readings","readings.arcana-10.past","A major shift changed everything — fortune turned and your circumstances flipped. That cycle completed itself whether you were ready or not.","Поворот судьбы — удачный или нет — изменил всё. Тот момент, когда колесо крутнулось, задал новое направление."
"readings","readings.arcana-10.present","Things are in motion. You can't stop the wheel, but you can choose how you ride it. Something is shifting right now.","Что-то меняется прямо сейчас. Не пытайся удержать то, что уходит. Колесо вращается — и это нормально."
"readings","readings.arcana-10.future","A turn of fate is approaching. Luck, circumstance, timing — something is about to rotate in your favor. Be ready to move.","Приближается перемена. Контролировать её не удастся, но встретить — вполне. Циклы не бывают вечными, и этот тоже сменится."
"readings","readings.arcana-11.keywords","courage, patience, inner strength, compassion","сила, терпение, мужество, мягкая власть"
"readings","readings.arcana-11.meaning","Strength isn't the lion — it's the woman with her hands on its jaws. Quiet power, gentle control, the kind of courage that doesn't need to roar. Master yourself before you try to master anything else.","Сила укрощает льва не цепями, а нежностью. Настоящая сила не в грубости — в терпении, выдержке и способности оставаться мягким, когда всё вокруг давит."
"readings","readings.arcana-11.past","You faced something that required deep inner strength — not force, but endurance. That quiet courage got you through.","Было время, когда мягкость победила грубую силу. Терпение и внутренняя стойкость помогли пройти через то, что казалось непреодолимым."
"readings","readings.arcana-11.present","The situation calls for patience, not power. Meet the challenge gently but firmly. You're stronger than the thing you're afraid of.","Ситуация требует не натиска, а терпения. Укроти внутреннего зверя мягкостью. Настоящая власть — в спокойствии."
"readings","readings.arcana-11.future","You'll be tested — not by an external enemy, but by your own impulses. The strength you need is already inside you. Trust it.","Впереди испытание, которое потребует выдержки, а не борьбы. Мягкая сила окажется мощнее любого удара."
"readings","readings.arcana-12.keywords","surrender, new perspective, letting go, pause","пауза, жертва, новый взгляд, отпускание"
"readings","readings.arcana-12.meaning","The Hanged Man hangs by choice. The world looks different upside down — and that's the point. This is voluntary suspension, a pause that changes everything. Stop struggling and see what the stillness shows you.","Повешенный висит вниз головой, но на его лице покой. Мир перевернулся — и именно так появляется новый взгляд. Иногда нужно отпустить контроль, чтобы увидеть истину."
"readings","readings.arcana-12.past","A period of waiting or sacrifice shifted your entire perspective. What felt like stagnation was actually transformation in disguise.","Период вынужденной паузы или жертвы изменил восприятие. То, что казалось потерей, оказалось перезагрузкой."
"readings","readings.arcana-12.present","Let go of the need to act. The answer comes when you stop chasing it. Surrender isn't defeat — it's strategy.","Стоит остановиться и посмотреть на всё с другой стороны. Привычный подход не работает — пора перевернуть перспективу."
"readings","readings.arcana-12.future","A pause is coming. It will feel frustrating, but it's necessary. What you see from this new angle will change your approach entirely.","Впереди пауза, которая покажется бездействием, но на самом деле будет трансформацией. Отпусти — и увидишь."
"readings","readings.arcana-13.keywords","endings, transformation, transition, release","конец, трансформация, освобождение, обновление"
"readings","readings.arcana-13.meaning","Death clears the field. Not destruction for its own sake — but the necessary ending that makes room for what's next. Something must die for something new to live. Let it go.","Смерть — не гибель, а линия между тем, что было, и тем, что будет. Что-то заканчивается, и это не трагедия — это освобождение места для нового. Держаться за старое бессмысленно."
"readings","readings.arcana-13.past","Something ended — a relationship, an identity, a chapter. It hurt. But look at what grew in the space it left.","Что-то важное завершилось, и это завершение расчистило путь. Конец, который тогда причинял боль, оказался необходимым."
