"namespace","key","English (source — do not edit)","Ukrainian (edit this column)"
"ui","ui.paymentStartFailed","Something went wrong starting your payment. Please try again.","Не вдалося розпочати оплату. Будь ласка, спробуйте ще раз."
"ui","ui.paymentsLaunchingSoon","Payments launching soon","Оплата з'явиться незабаром"
"ui","ui.termsOfService","Terms of Service","Умови використання"
"ui","ui.privacyPolicy","Privacy Policy","Політика конфіденційності"
"ui","ui.cookiePolicy","Cookie Policy","Політика використання cookie"
"ui","ui.refundPolicy","Refund Policy","Політика повернення коштів"
"ui","ui.cookieSettings","Cookie settings","Налаштування cookie"
"ui","ui.contact","Contact","Контакти"
"ui","ui.cookieBannerAriaLabel","Cookie consent","Згода на використання cookie"
"ui","ui.cookieBannerMessage","We use cookies to keep you signed in and, with your consent, to understand how The Veil is used.","Ми використовуємо cookie, щоб ви залишалися авторизованими, та — за вашою згодою — щоб розуміти, як використовується Завіса."
"ui","ui.cookieBannerLearnMore","Learn more","Дізнатися більше"
"ui","ui.cookieBannerAccept","Accept","Прийняти"
"ui","ui.cookieBannerReject","Reject","Відхилити"
"ui","ui.initiation","Initiation","Посвячення"
"ui","ui.name","Name","Ім'я"
"ui","ui.email","Email","Ел. пошта"
"ui","ui.currentPlan","Current plan","Поточний тариф"
"ui","ui.credits","Reading Credits","Кредити розкладів"
"ui","ui.password","Password","Пароль"
"ui","ui.save","Save","Зберегти"
"ui","ui.saving","Saving...","Збереження..."
"ui","ui.cancel","Cancel","Скасувати"
"ui","ui.changePassword","Change password","Змінити пароль"
"ui","ui.setPassword","Set password","Встановити пароль"
"ui","ui.slipIntoShadows","Slip Into the Shadows","Зникнути в тінях"
"ui","ui.currentPasswordPlaceholder","Current password","Поточний пароль"
"ui","ui.newPasswordPlaceholder","New password","Новий пароль"
"ui","ui.confirmPasswordPlaceholder","Confirm new password","Підтвердьте новий пароль"
"ui","ui.nameCannotBeEmpty","Name cannot be empty","Ім'я не може бути порожнім"
"ui","ui.failedToUpdateName","Failed to update name","Не вдалося оновити ім'я"
"ui","ui.passwordMinLength","Password must be at least 8 characters","Пароль має містити щонайменше 8 символів"
"ui","ui.passwordsDoNotMatch","Passwords do not match","Паролі не збігаються"
"ui","ui.failedToUpdatePassword","Failed to update password","Не вдалося оновити пароль"
"ui","ui.passwordUpdated","Password updated","Пароль оновлено"
"ui","ui.whatShallWeCallYou","What Shall We Call You?","Як до вас звертатися?"
"ui","ui.pledgeYourSoul","Pledge Your Soul (Or Just Your Email)","Віддайте свою душу (або просто вкажіть email)"
"ui","ui.enchantedPhrase","Enchanted Phrase","Заклинання-пароль"
"ui","ui.iAgreeTo","I agree to the","Я погоджуюсь із"
"ui","ui.and","and","та"
"ui","ui.agreeToTerms","I agree to the {terms} and {privacy}.","Я погоджуюсь із {terms} та {privacy}."
"ui","ui.acceptTermsError","Please accept the Terms of Service and Privacy Policy to continue.","Будь ласка, прийміть Умови використання та Політику конфіденційності, щоб продовжити."
"ui","ui.invalidCredentials","Invalid email or password","Невірний email або пароль"
"ui","ui.somethingWentWrong","Something went wrong. Please try again.","Щось пішло не так. Спробуйте ще раз."
"ui","ui.channeling","Channeling...","Зв'язуємось із духами..."
"ui","ui.beginTheRitual","Begin the Ritual","Розпочати ритуал"
"ui","ui.completeTheRitual","Complete the Ritual","Завершити ритуал"
"ui","ui.letGoogleSpeak","Let Google Speak Your Name","Нехай Google назве ваше ім'я"
"ui","ui.alreadyInitiated","Already initiated? Enter the Sanctum","Уже посвячені? Увійдіть до Святилища"
"ui","ui.newToTheCraft","New to the craft? Join the Circle of the Chosen","Вперше тут? Приєднайтеся до Кола обраних"
"ui","ui.drawThreeCards","Draw three cards to receive your reading.","Витягніть три карти, щоб отримати передбачення."
"ui","ui.spiritsUnclear","The spirits are unclear. Please draw again.","Духи не ясні. Будь ласка, витягніть карти знову."
"ui","ui.language","Language","Мова"
"ui","ui.deck","Deck","Колода"
"ui","ui.chooseDeck","Choose Your Deck","Оберіть свою колоду"
"ui","ui.deckRiderWaite","Rider-Waite","Райдер-Вейт"
"ui","ui.deckKlimt","Klimt","Клімт"
"ui","ui.deckGothicVintage","Gothic Vintage","Готичний вінтаж"
"ui","ui.selected","Selected","Обрано"
"ui","ui.selectDeck","Select","Обрати"
"ui","ui.signInToSelectDeck","Sign in to choose your deck","Увійдіть, щоб обрати колоду"
"ui","ui.chooseYourReader","Choose Who Reads For You","Оберіть, хто читає для вас"
"ui","ui.readerSelectionSubtitle","Three readers wait in the dark. They will not introduce themselves — you must choose.","Троє тарологів чекають у темряві. Вони не представляться — ви маєте обрати самі."
"ui","ui.hoverToLearn","Hover a reader to learn their nature.","Наведіть на таролога, щоб дізнатися його суть."
"ui","ui.summonReader","Summon {name}","Призвати {name}"
"ui","ui.yourReaderIs","Your Reader","Ваш таролог"
"ui","ui.changeYourReader","Change Your Reader","Змінити таролога"
"ui","ui.beginInitiation","Begin Initiation","Розпочати посвячення"
"ui","ui.reader","Reader","Таролог"
"ui","ui.chooseReader","Choose Your Reader","Оберіть таролога"
"ui","ui.deleteAccountHeading","The Point of No Return","Точка Неповернення"
"ui","ui.deleteAccountTrigger","Break the Pact","Розірвати Пакт"
"ui","ui.deleteAccountWarning","This will permanently erase your account, reading history, deck and reader preferences, subscription record, and any linked sign-in providers. This action cannot be undone.","Це назавжди видалить ваш обліковий запис, історію ворожінь, налаштування колоди та таролога, дані про підписку та всі пов'язані способи входу. Цю дію неможливо скасувати."
"ui","ui.deleteAccountConfirmLabel","Type DELETE to confirm","Введіть DELETE для підтвердження"
"ui","ui.deleteAccountConfirmPlaceholder","DELETE","DELETE"
"ui","ui.deleteAccountButton","Burn the pact forever","Спалити пакт назавжди"
"ui","ui.deleteAccountCancel","Cancel","Скасувати"
"ui","ui.deleteAccountSubmitting","Burning the pact...","Спалюємо пакт..."
"ui","ui.deleteAccountError","Something went wrong. Please contact privacy@nothingweird.agency","Щось пішло не так. Будь ласка, зв'яжіться з privacy@nothingweird.agency"
"ui","ui.deleteAccountEmailSubject","[theveil] Account deleted","[theveil] Обліковий запис видалено"
"ui","ui.deleteAccountEmailBody","Your account at The Veil has been permanently deleted. This action is irreversible. If you did not request this, contact privacy@nothingweird.agency.","Ваш обліковий запис у The Veil остаточно видалено. Цю дію неможливо скасувати. Якщо ви цього не робили, зв'яжіться з privacy@nothingweird.agency."
"ui","ui.renewsOn","Renews on {date}","Поновлюється {date}"
"ui","ui.accessUntil","Access until {date}","Доступ до {date}"
"ui","ui.renewal","Renewal","Поновлення"
"ui","ui.cancelSubscription","Cancel subscription","Скасувати підписку"
"ui","ui.resumeSubscription","Resume subscription","Відновити підписку"
"ui","ui.cancelSubscriptionConfirm","Cancel auto-renew? You'll keep access until the end of your paid period.","Скасувати автоматичне поновлення? Ви збережете доступ до кінця оплаченого періоду."
"ui","ui.notFound.title","The veil is closed here","Завіса тут зачинена"
"ui","ui.notFound.description","This page has slipped beyond the veil. Return to the circle and try another path.","Ця сторінка зникла за завісою. Поверніться в коло і спробуйте інший шлях."
"ui","ui.notFound.backHome","Back to the sanctum","Назад до святилища"
"cards","cards.arcana-0","The Fool","Дурень"
"cards","cards.arcana-1","The Magician","Маг"
"cards","cards.arcana-2","The High Priestess","Верховна Жриця"
"cards","cards.arcana-3","The Empress","Імператриця"
"cards","cards.arcana-4","The Emperor","Імператор"
"cards","cards.arcana-5","The Hierophant","Ієрофант"
"cards","cards.arcana-6","The Lovers","Закохані"
"cards","cards.arcana-7","The Chariot","Колісниця"
"cards","cards.arcana-8","Justice","Справедливість"
"cards","cards.arcana-9","The Hermit","Відлюдник"
"cards","cards.arcana-10","Wheel of Fortune","Колесо Фортуни"
"cards","cards.arcana-11","Strength","Сила"
"cards","cards.arcana-12","The Hanged Man","Повішений"
"cards","cards.arcana-13","Death","Смерть"
"cards","cards.arcana-14","Temperance","Поміркованість"
"cards","cards.arcana-15","The Devil","Диявол"
"cards","cards.arcana-16","The Tower","Вежа"
"cards","cards.arcana-17","The Star","Зірка"
"cards","cards.arcana-18","The Moon","Місяць"
"cards","cards.arcana-19","The Sun","Сонце"
"cards","cards.arcana-20","Judgement","Суд"
"cards","cards.arcana-21","The World","Світ"
"cards","cards.chalices-1","Ace of Chalices","Туз Кубків"
"cards","cards.chalices-2","Two of Chalices","Двійка Кубків"
"cards","cards.chalices-3","Three of Chalices","Трійка Кубків"
"cards","cards.chalices-4","Four of Chalices","Четвірка Кубків"
"cards","cards.chalices-5","Five of Chalices","П'ятірка Кубків"
"cards","cards.chalices-6","Six of Chalices","Шістка Кубків"
"cards","cards.chalices-7","Seven of Chalices","Сімка Кубків"
"cards","cards.chalices-8","Eight of Chalices","Вісімка Кубків"
"cards","cards.chalices-9","Nine of Chalices","Дев'ятка Кубків"
"cards","cards.chalices-10","Ten of Chalices","Десятка Кубків"
"cards","cards.chalices-page","Page of Chalices","Паж Кубків"
"cards","cards.chalices-knight","Knight of Chalices","Лицар Кубків"
"cards","cards.chalices-queen","Queen of Chalices","Королева Кубків"
"cards","cards.chalices-king","King of Chalices","Король Кубків"
"cards","cards.swords-1","Ace of Swords","Туз Мечів"
"cards","cards.swords-2","Two of Swords","Двійка Мечів"
"cards","cards.swords-3","Three of Swords","Трійка Мечів"
"cards","cards.swords-4","Four of Swords","Четвірка Мечів"
"cards","cards.swords-5","Five of Swords","П'ятірка Мечів"
"cards","cards.swords-6","Six of Swords","Шістка Мечів"
"cards","cards.swords-7","Seven of Swords","Сімка Мечів"
"cards","cards.swords-8","Eight of Swords","Вісімка Мечів"
"cards","cards.swords-9","Nine of Swords","Дев'ятка Мечів"
"cards","cards.swords-10","Ten of Swords","Десятка Мечів"
"cards","cards.swords-page","Page of Swords","Паж Мечів"
"cards","cards.swords-knight","Knight of Swords","Лицар Мечів"
"cards","cards.swords-queen","Queen of Swords","Королева Мечів"
"cards","cards.swords-king","King of Swords","Король Мечів"
"cards","cards.pentacles-1","Ace of Pentacles","Туз Пентаклів"
"cards","cards.pentacles-2","Two of Pentacles","Двійка Пентаклів"
"cards","cards.pentacles-3","Three of Pentacles","Трійка Пентаклів"
"cards","cards.pentacles-4","Four of Pentacles","Четвірка Пентаклів"
"cards","cards.pentacles-5","Five of Pentacles","П'ятірка Пентаклів"
"cards","cards.pentacles-6","Six of Pentacles","Шістка Пентаклів"
"cards","cards.pentacles-7","Seven of Pentacles","Сімка Пентаклів"
"cards","cards.pentacles-8","Eight of Pentacles","Вісімка Пентаклів"
"cards","cards.pentacles-9","Nine of Pentacles","Дев'ятка Пентаклів"
"cards","cards.pentacles-10","Ten of Pentacles","Десятка Пентаклів"
"cards","cards.pentacles-page","Page of Pentacles","Паж Пентаклів"
"cards","cards.pentacles-knight","Knight of Pentacles","Лицар Пентаклів"
"cards","cards.pentacles-queen","Queen of Pentacles","Королева Пентаклів"
"cards","cards.pentacles-king","King of Pentacles","Король Пентаклів"
"cards","cards.wands-1","Ace of Wands","Туз Жезлів"
"cards","cards.wands-2","Two of Wands","Двійка Жезлів"
"cards","cards.wands-3","Three of Wands","Трійка Жезлів"
"cards","cards.wands-4","Four of Wands","Четвірка Жезлів"
"cards","cards.wands-5","Five of Wands","П'ятірка Жезлів"
"cards","cards.wands-6","Six of Wands","Шістка Жезлів"
"cards","cards.wands-7","Seven of Wands","Сімка Жезлів"
"cards","cards.wands-8","Eight of Wands","Вісімка Жезлів"
"cards","cards.wands-9","Nine of Wands","Дев'ятка Жезлів"
"cards","cards.wands-10","Ten of Wands","Десятка Жезлів"
"cards","cards.wands-page","Page of Wands","Паж Жезлів"
"cards","cards.wands-knight","Knight of Wands","Лицар Жезлів"
"cards","cards.wands-queen","Queen of Wands","Королева Жезлів"
"cards","cards.wands-king","King of Wands","Король Жезлів"
"readings","readings.arcana-0.keywords","beginnings, innocence, spontaneity, free spirit","початок, невинність, спонтанність, вільний дух"
"readings","readings.arcana-0.meaning","The Fool stands at the edge of a cliff with nothing but trust. New beginnings, a blank page, a step into the unknown. Something is about to start — and it asks you not to overthink it.","Дурень стоїть на краю урвища, маючи лише довіру. Новий початок, чиста сторінка, крок у невідоме. Щось ось-ось почнеться — і просить не обмірковувати все занадто."
"readings","readings.arcana-0.past","There was a leap — a moment when you chose the unknown over the safe. That decision, reckless or brave, set everything in motion.","Був стрибок — мить, коли невідомість переважила безпеку. Це рішення, безрозсудне чи сміливе, запустило все в рух."
"readings","readings.arcana-0.present","A fresh start is calling. The details aren't clear yet, and that's the point. Stop planning and take the step.","Зве новий початок. Деталі ще не ясні, і в цьому суть. Досить планувати — час зробити крок."
"readings","readings.arcana-0.future","Something entirely new is coming. You won't be able to prepare for it — and you won't need to. Meet it with open hands.","Попереду щось цілком нове. Підготуватися до цього не вдасться — і не потрібно. Зустрічати з відкритими руками."
"readings","readings.arcana-1.keywords","manifestation, willpower, skill, resourcefulness","втілення, сила волі, майстерність, винахідливість"
"readings","readings.arcana-1.meaning","The Magician has every tool on the table and knows exactly how to use them. This is about focus, skill, and turning intention into action. You have what you need — now use it.","У Мага на столі всі інструменти, і він знає, як користуватися кожним. Тут мова про зосередження, майстерність і перетворення наміру на дію. Усе потрібне вже є — час застосувати."
"readings","readings.arcana-1.past","A time when everything clicked — skill met opportunity and something real was created. That ability hasn't gone anywhere.","Час, коли все склалося — майстерність зустріла можливість, і народилося щось справжнє. Ця здатність нікуди не зникла."
"readings","readings.arcana-1.present","All the pieces are in front of you. This is not the time for doubt or hesitation — it's the time to act with precision.","Усі елементи перед тобою. Зараз не час для сумнівів і вагань — час діяти точно."
"readings","readings.arcana-1.future","A moment is coming when your skills will be tested and proven. What you've been learning is about to become very useful.","Наближається мить, коли твої навички будуть випробувані та доведені. Те, чого ти навчаєшся, скоро стане дуже корисним."
"readings","readings.arcana-2.keywords","intuition, mystery, inner knowledge, subconscious","інтуїція, таємниця, внутрішнє знання, підсвідомість"
"readings","readings.arcana-2.meaning","The High Priestess sits between what's seen and what's hidden. She doesn't speak loudly — she doesn't need to. The answer is already inside you, waiting for you to get quiet enough to hear it.","Верховна Жриця сидить між видимим і прихованим. Вона не говорить голосно — не потребує. Відповідь уже всередині, треба лише достатньо затихнути, щоб почути."
"readings","readings.arcana-2.past","There was a time you knew something without knowing how. That gut feeling guided you well. You've second-guessed your intuition since — don't.","Був час, коли інтуїція говорила ясно — і довіра їй виявилася правильною. Після того ти звикаєш сумніватися в собі — даремно."
"readings","readings.arcana-2.present","Stop looking for answers outside yourself. The information you need is already here — in your gut, in your dreams, in the silence between thoughts.","Не шукай відповідей назовні. Потрібна інформація вже тут — у відчуттях, у снах, у тиші між думками."
"readings","readings.arcana-2.future","Something hidden will surface. Not through effort, but through stillness. Pay attention to what comes to you unbidden.","Приховане вийде на поверхню. Не через зусилля, а через спокій. Звертай увагу на те, що приходить само."
"readings","readings.arcana-3.keywords","abundance, nurturing, fertility, creativity","достаток, турбота, плодючість, творчість"
"readings","readings.arcana-3.meaning","The Empress is the garden in full bloom. She represents growth, sensuality, and the kind of creation that comes from tending something with care. What you nurture will thrive.","Імператриця — це сад у повному цвітінні. Вона уособлює зростання, чуттєвість і творення, що народжується з дбайливості. Те, про що ти дбаєш, процвітатиме."
"readings","readings.arcana-3.past","A fertile period — something was growing and you helped it along. That nurturing energy, whether directed at a person or a project, produced something lasting.","Плодючий період — щось зростало, і ти допомагав цьому зростанню. Та турбота, до людини чи до справи, принесла щось тривале."
"readings","readings.arcana-3.present","Create. Tend. Nourish. Whatever you give your attention to right now will grow. This is not a time for austerity — let things be lush.","Створюй. Плекай. Живи. Те, чому ти зараз приділяєш увагу, зростатиме. Не час для скнарості — нехай буде буйно."
"readings","readings.arcana-3.future","Abundance is building. Something you've been caring for is about to reward that patience. The harvest is closer than you think.","Достаток накопичується. Те, про що давно дбаєш, ось-ось винагородить твоє терпіння. Жнива ближче, ніж здається."
"readings","readings.arcana-4.keywords","authority, structure, stability, discipline","влада, структура, стабільність, дисципліна"
"readings","readings.arcana-4.meaning","The Emperor builds order from chaos. Stone walls, clear rules, a firm hand. This card is about taking control — not emotionally, but structurally. Set the boundary. Make the decision.","Імператор створює лад із хаосу. Кам'яні стіни, чіткі правила, тверда рука. Ця карта про те, щоб узяти управління — не емоційно, а структурно. Встанови межу. Прийми рішення."
"readings","readings.arcana-4.past","Structure was imposed — by you or on you. A father figure, a system, a set of rules shaped how you operate. That framework still holds weight.","Структура була накладена — тобою або на тебе. Батьківська фігура, система, набір правил сформували твій спосіб дії. Ця основа досі має вагу."
"readings","readings.arcana-4.present","The situation needs leadership, not discussion. Establish order. Be the one who draws the line and holds it.","Ситуація потребує лідерства, а не обговорень. Встанови лад. Будь тим, хто проводить межу і тримає її."
"readings","readings.arcana-4.future","You're moving toward a position of greater authority. The discipline you practice now is building something solid for later.","Рухаєшся до позиції більшої влади. Дисципліна, яку практикуєш зараз, будує щось міцне на майбутнє."
"readings","readings.arcana-5.keywords","tradition, guidance, conformity, mentorship","традиція, настанова, узгодження, наставництво"
"readings","readings.arcana-5.meaning","The Hierophant represents the wisdom that comes through lineage — teachers, traditions, institutions. Sometimes you need to learn the rules before you break them. This card says: find the teacher.","Ієрофант уособлює мудрість, що передається через лінію — учителів, традиції, інституції. Іноді треба вивчити правила, перш ніж їх порушувати. Ця карта каже: знайди вчителя."
"readings","readings.arcana-5.past","A mentor, a tradition, or a belief system gave you a foundation. Whether you still follow it or pushed against it, it shaped your path.","Наставник, традиція або система вірувань дали тобі основу. Незалежно від того, чи ти досі слідуєш їй, чи відштовхнувся від неї, вона сформувала твій шлях."
"readings","readings.arcana-5.present","Seek guidance from someone who has walked this road before. There's no shame in learning from established wisdom — not everything needs to be reinvented.","Шукай настанови в того, хто вже пройшов цим шляхом. Немає сорому в тому, щоб учитися у сталої мудрості — не все треба винаходити наново."
"readings","readings.arcana-5.future","You'll be called to pass on what you know. The role of teacher or guide is forming ahead of you, whether you planned for it or not.","Тебе покличуть передати те, що знаєш. Роль учителя чи провідника формується попереду, чи планував ти це, чи ні."
"readings","readings.arcana-6.keywords","love, choice, union, values","любов, вибір, союз, цінності"
"readings","readings.arcana-6.meaning","The Lovers is less about romance and more about choice. Two paths, two forces, two truths — and you must choose. The real question: what do you value enough to commit to?","Закохані — менше про романтику і більше про вибір. Два шляхи, дві сили, дві істини — і треба обрати. Справжнє питання: що цінуєш настільки, щоб зобов'язатися?"
"readings","readings.arcana-6.past","A defining choice was made — one that aligned you with someone or something at a deep level. That decision still echoes.","Був прийнятий визначальний вибір — той, що з'єднав тебе з кимось або чимось на глибокому рівні. Те рішення досі відлунює."
"readings","readings.arcana-6.present","You're facing a choice that touches who you are at the core. Don't choose what's easy. Choose what's true.","Перед тобою вибір, що зачіпає саму суть. Не обирай легкого. Обирай істинного."
"readings","readings.arcana-6.future","A significant union or decision is approaching. It will ask you to be honest about what you actually want — not what you think you should want.","Наближається значущий союз або рішення. Воно вимагатиме чесності щодо того, чого ти дійсно хочеш — а не того, що ніби повинен хотіти."
"readings","readings.arcana-7.keywords","determination, willpower, victory, control","рішучість, сила волі, перемога, контроль"
"readings","readings.arcana-7.meaning","The Chariot moves forward through sheer force of will. Two opposing forces, one driver. This isn't gentle progress — it's controlled aggression toward a goal. Hold the reins tight.","Колісниця рухається вперед чистою силою волі. Дві протилежні сили, один візник. Це не м'який поступ — це контрольована агресія до мети. Тримай поводи міцно."
"readings","readings.arcana-7.past","You pushed through something by sheer determination. The victory wasn't handed to you — you wrestled it into existence.","Ти продерся крізь щось завдяки чистій рішучості. Перемога не дісталася просто так — її треба було виборювати."
"readings","readings.arcana-7.present","Conflict is pulling you in two directions. The only way forward is to master both forces and drive. Hesitate and you stall.","Конфлікт тягне у два боки. Єдиний шлях уперед — оволодіти обома силами і керувати ними. Завагайся — і застрягнеш."
"readings","readings.arcana-7.future","A breakthrough is coming, but it won't be effortless. You'll need every ounce of focus and willpower. The good news: you have it.","Прорив наближається, але не без зусиль. Знадобиться кожна унція зосередженості й волі. Добра новина: вони в тебе є."
"readings","readings.arcana-8.keywords","justice, fairness, truth, accountability","справедливість, чесність, істина, відповідальність"
"readings","readings.arcana-8.meaning","Justice holds the scales and the sword. This is about cause and effect, plain and simple. What you put out comes back. The truth will be weighed — and the verdict will be fair.","Справедливість тримає терези й меч. Це про причину й наслідок, без прикрас. Що віддаєш — те й повертається. Істину зважать — і вердикт буде справедливим."
"readings","readings.arcana-8.past","A decision was made that balanced the scales. Something was settled — fairly or not — and the consequences played out as they should.","Було прийнято рішення, що врівноважило терези. Щось розв'язалося — справедливо чи ні — і наслідки зіграли свою роль."
"readings","readings.arcana-8.present","Be honest. With yourself, with others. A situation demands fairness and clear-eyed truth. The scales are watching.","Будь чесним. Із собою, з іншими. Ситуація вимагає справедливості й ясної істини. Терези дивляться."
"readings","readings.arcana-8.future","A reckoning is coming — not punishment, but balance. What's been out of alignment will be corrected. Trust the process.","Наближається розплата — не покарання, а рівновага. Те, що було не в лад, виправиться. Довіряй процесу."
"readings","readings.arcana-9.keywords","solitude, introspection, guidance, wisdom","самотність, самоаналіз, провід, мудрість"
"readings","readings.arcana-9.meaning","The Hermit climbs alone, lantern in hand. This isn't loneliness — it's chosen solitude. Sometimes the answers only come when you step away from the noise and walk your own path for a while.","Відлюдник сходить наодинці, з ліхтарем у руці. Це не самотність — це обрана самота. Іноді відповіді приходять лише тоді, коли вдалині від шуму ідеш власною стежкою."
"readings","readings.arcana-9.past","A period of withdrawal taught you something no one else could. That time alone — voluntary or not — gave you clarity you still carry.","Період усамітнення навчив чогось, чого ніхто інший не міг навчити. Той час наодинці — добровільний чи ні — дав ясність, яку ти досі несеш."
"readings","readings.arcana-9.present","Pull back. The crowd doesn't have your answers right now. Take the lantern and go inward. What you find in the silence will be worth the solitude.","Відійди. Натовп не має твоїх відповідей. Візьми ліхтар і йди всередину. Те, що знайдеш у тиші, варте самоти."
"readings","readings.arcana-9.future","A period of necessary solitude is ahead. It may not feel comfortable, but it will give you the clarity you've been missing.","Попереду необхідний період усамітнення. Може бути некомфортно, але це дасть ясність, якої бракувало."
"readings","readings.arcana-10.keywords","cycles, fate, turning point, change","цикли, доля, поворотний момент, зміна"
"readings","readings.arcana-10.meaning","The Wheel turns — always has, always will. What's up comes down, what's down comes up. This card is a reminder that nothing is permanent. The only constant is the turning itself.","Колесо обертається — так було й буде завжди. Що вгорі — опускається, що внизу — піднімається. Ця карта нагадує: ніщо не постійне. Постійним є лише сам оберт."
"readings","readings.arcana-10.past","A major shift changed everything — fortune turned and your circumstances flipped. That cycle completed itself whether you were ready or not.","Великий зсув усе змінив — доля повернулася, обставини перекинулися. Той цикл завершився, готовий ти був чи ні."
"readings","readings.arcana-10.present","Things are in motion. You can't stop the wheel, but you can choose how you ride it. Something is shifting right now.","Усе в русі. Колесо не зупинити, але можна обрати, як на ньому їхати. Щось зміщується просто зараз."
"readings","readings.arcana-10.future","A turn of fate is approaching. Luck, circumstance, timing — something is about to rotate in your favor. Be ready to move.","Наближається поворот долі. Удача, обставини, час — щось ось-ось обернеться на користь. Будь готовий діяти."
"readings","readings.arcana-11.keywords","courage, patience, inner strength, compassion","сміливість, терпіння, внутрішня сила, співчуття"
"readings","readings.arcana-11.meaning","Strength isn't the lion — it's the woman with her hands on its jaws. Quiet power, gentle control, the kind of courage that doesn't need to roar. Master yourself before you try to master anything else.","Сила — не лев, а жінка, чиї руки на його пащі. Тиха влада, м'який контроль, сміливість, що не потребує ричати. Оволодій собою, перш ніж володіти чимось ще."
"readings","readings.arcana-11.past","You faced something that required deep inner strength — not force, but endurance. That quiet courage got you through.","Ти стикався з чимось, що вимагало глибокої внутрішньої сили — не натиску, а витримки. Та тиха сміливість провела тебе."
"readings","readings.arcana-11.present","The situation calls for patience, not power. Meet the challenge gently but firmly. You're stronger than the thing you're afraid of.","Ситуація потребує терпіння, а не сили. Зустрічай виклик м'яко, але твердо. Ти сильніший за те, чого боїшся."
"readings","readings.arcana-11.future","You'll be tested — not by an external enemy, but by your own impulses. The strength you need is already inside you. Trust it.","Тебе випробують — не зовнішнім ворогом, а власними імпульсами. Сила, яка потрібна, вже всередині. Довіряй їй."
"readings","readings.arcana-12.keywords","surrender, new perspective, letting go, pause","прийняття, нова перспектива, відпускання, пауза"
"readings","readings.arcana-12.meaning","The Hanged Man hangs by choice. The world looks different upside down — and that's the point. This is voluntary suspension, a pause that changes everything. Stop struggling and see what the stillness shows you.","Повішений висить за власним вибором. Світ виглядає інакше догори ногами — і в цьому сенс. Це добровільне зависання, пауза, що все змінює. Перестань борсатися й подивися, що покаже нерухомість."
"readings","readings.arcana-12.past","A period of waiting or sacrifice shifted your entire perspective. What felt like stagnation was actually transformation in disguise.","Період чекання чи жертви змінив усю перспективу. Те, що здавалося застоєм, насправді було прихованою трансформацією."
"readings","readings.arcana-12.present","Let go of the need to act. The answer comes when you stop chasing it. Surrender isn't defeat — it's strategy.","Відпусти потребу діяти. Відповідь приходить, коли перестаєш її переслідувати. Здатися — не поразка, а стратегія."
"readings","readings.arcana-12.future","A pause is coming. It will feel frustrating, but it's necessary. What you see from this new angle will change your approach entirely.","Наближається пауза. Буде дратівливо, але потрібно. Те, що побачиш під новим кутом, повністю змінить підхід."
"readings","readings.arcana-13.keywords","endings, transformation, transition, release","завершення, трансформація, перехід, звільнення"
