"namespace","key","English (source — do not edit)","Norwegian (edit this column)"
"ui","ui.failedToUpdatePassword","Failed to update password","Kunne ikke oppdatere passord"
"ui","ui.passwordUpdated","Password updated","Passord oppdatert"
"ui","ui.whatShallWeCallYou","What Shall We Call You?","Hva Skal Vi Kalle Deg?"
"ui","ui.pledgeYourSoul","Pledge Your Soul (Or Just Your Email)","Pantsett Din Sjel (Eller Bare Din E-post)"
"ui","ui.enchantedPhrase","Enchanted Phrase","Fortryllet Frase"
"ui","ui.iAgreeTo","I agree to the","Jeg godtar"
"ui","ui.and","and","og"
"ui","ui.agreeToTerms","I agree to the {terms} and {privacy}.","Jeg godtar {terms} og {privacy}."
"ui","ui.acceptTermsError","Please accept the Terms of Service and Privacy Policy to continue.","Vennligst godta vilkårene for bruk og personvernerklæringen for å fortsette."
"ui","ui.invalidCredentials","Invalid email or password","Ugyldig e-post eller passord"
"ui","ui.somethingWentWrong","Something went wrong. Please try again.","Noe gikk galt. Vennligst prøv igjen."
"ui","ui.channeling","Channeling...","Kanaliserer..."
"ui","ui.beginTheRitual","Begin the Ritual","Begynn Ritualet"
"ui","ui.completeTheRitual","Complete the Ritual","Fullføre Ritualet"
"ui","ui.letGoogleSpeak","Let Google Speak Your Name","La Google Uttale Ditt Navn"
"ui","ui.alreadyInitiated","Already initiated? Enter the Sanctum","Allerede innviet? Tre Inn i Helligdommen"
"ui","ui.newToTheCraft","New to the craft? Join the Circle of the Chosen","Ny i kunsten? Bli med i De Utvalgtes Sirkel"
"ui","ui.drawThreeCards","Draw three cards to receive your reading.","Trekk tre kort for å motta din tolkning."
"ui","ui.spiritsUnclear","The spirits are unclear. Please draw again.","Åndene er uklare. Vennligst trekk på nytt."
"ui","ui.language","Language","Språk"
"ui","ui.deck","Deck","Kortstokk"
"ui","ui.chooseDeck","Choose Your Deck","Velg Din Kortstokk"
"ui","ui.deckRiderWaite","Rider-Waite","Rider-Waite"
"ui","ui.deckKlimt","Klimt","Klimt"
"ui","ui.deckGothicVintage","Gothic Vintage","Gotisk Vintage"
"ui","ui.selected","Selected","Valgt"
"ui","ui.selectDeck","Select","Velg"
"ui","ui.signInToSelectDeck","Sign in to choose your deck","Logg inn for å velge kortstokk"
"ui","ui.chooseYourReader","Choose Who Reads For You","Velg Hvem Som Leser For Deg"
"ui","ui.readerSelectionSubtitle","Three readers wait in the dark. They will not introduce themselves — you must choose.","Tre lesere venter i mørket. De vil ikke presentere seg — du må velge."
"ui","ui.hoverToLearn","Hover a reader to learn their nature.","Hold over en leser for å lære deres natur."
"ui","ui.summonReader","Summon {name}","Påkall {name}"
"ui","ui.yourReaderIs","Your Reader","Din Leser"
"ui","ui.changeYourReader","Change Your Reader","Bytt Leser"
"ui","ui.beginInitiation","Begin Initiation","Påbegynn Innvielse"
"ui","ui.reader","Reader","Leser"
"ui","ui.chooseReader","Choose Your Reader","Velg Din Leser"
"ui","ui.deleteAccountHeading","The Point of No Return","Ingen Vei Tilbake"
"ui","ui.deleteAccountTrigger","Break the Pact","Bryt Pakten"
"ui","ui.deleteAccountWarning","This will permanently erase your account, reading history, deck and reader preferences, subscription record, and any linked sign-in providers. This action cannot be undone.","Dette vil permanent slette kontoen din, lesehistorikken, valg av kortstokk og leser, abonnementsdata og eventuelle tilknyttede innloggingstjenester. Denne handlingen kan ikke angres."
"ui","ui.deleteAccountConfirmLabel","Type DELETE to confirm","Skriv DELETE for å bekrefte"
"ui","ui.deleteAccountConfirmPlaceholder","DELETE","DELETE"
"ui","ui.deleteAccountButton","Burn the pact forever","Brenn pakten for alltid"
"ui","ui.deleteAccountCancel","Cancel","Avbryt"
"ui","ui.deleteAccountSubmitting","Burning the pact...","Brenner pakten..."
"ui","ui.deleteAccountError","Something went wrong. Please contact privacy@nothingweird.agency","Noe gikk galt. Ta kontakt med privacy@nothingweird.agency"
"ui","ui.deleteAccountEmailSubject","[theveil] Account deleted","[theveil] Konto slettet"
"ui","ui.deleteAccountEmailBody","Your account at The Veil has been permanently deleted. This action is irreversible. If you did not request this, contact privacy@nothingweird.agency.","Kontoen din hos The Veil er slettet permanent. Denne handlingen kan ikke angres. Hvis du ikke ba om dette, kontakt privacy@nothingweird.agency."
"ui","ui.renewsOn","Renews on {date}","Fornyes {date}"
"ui","ui.accessUntil","Access until {date}","Tilgang til {date}"
"ui","ui.renewal","Renewal","Fornyelse"
"ui","ui.cancelSubscription","Cancel subscription","Si opp abonnement"
"ui","ui.resumeSubscription","Resume subscription","Gjenoppta abonnement"
"ui","ui.cancelSubscriptionConfirm","Cancel auto-renew? You'll keep access until the end of your paid period.","Avbryte automatisk fornyelse? Du beholder tilgangen ut den betalte perioden."
"ui","ui.notFound.title","The veil is closed here","Sløret er lukket her"
"ui","ui.notFound.description","This page has slipped beyond the veil. Return to the circle and try another path.","Denne siden har forsvunnet bak sløret. Vend tilbake til sirkelen og prøv en annen vei."
"ui","ui.notFound.backHome","Back to the sanctum","Tilbake til helligdommen"
"cards","cards.arcana-0","The Fool","Narren"
"cards","cards.arcana-1","The Magician","Magikeren"
"cards","cards.arcana-2","The High Priestess","Høyprestinnen"
"cards","cards.arcana-3","The Empress","Keiserinnen"
"cards","cards.arcana-4","The Emperor","Keiseren"
"cards","cards.arcana-5","The Hierophant","Hierofanten"
"cards","cards.arcana-6","The Lovers","Elskerne"
"cards","cards.arcana-7","The Chariot","Vognen"
"cards","cards.arcana-8","Justice","Rettferdighet"
"cards","cards.arcana-9","The Hermit","Eremiten"
"cards","cards.arcana-10","Wheel of Fortune","Lykkehjulet"
"cards","cards.arcana-11","Strength","Styrke"
"cards","cards.arcana-12","The Hanged Man","Den Hengte Mannen"
"cards","cards.arcana-13","Death","Døden"
"cards","cards.arcana-14","Temperance","Måtehold"
"cards","cards.arcana-15","The Devil","Djevelen"
"cards","cards.arcana-16","The Tower","Tårnet"
"cards","cards.arcana-17","The Star","Stjernen"
"cards","cards.arcana-18","The Moon","Månen"
"cards","cards.arcana-19","The Sun","Solen"
"cards","cards.arcana-20","Judgement","Dommen"
"cards","cards.arcana-21","The World","Verden"
"cards","cards.chalices-1","Ace of Chalices","Beger Ess"
"cards","cards.chalices-2","Two of Chalices","Beger To"
"cards","cards.chalices-3","Three of Chalices","Beger Tre"
"cards","cards.chalices-4","Four of Chalices","Beger Fire"
"cards","cards.chalices-5","Five of Chalices","Beger Fem"
"cards","cards.chalices-6","Six of Chalices","Beger Seks"
"cards","cards.chalices-7","Seven of Chalices","Beger Sju"
"cards","cards.chalices-8","Eight of Chalices","Beger Åtte"
"cards","cards.chalices-9","Nine of Chalices","Beger Ni"
"cards","cards.chalices-10","Ten of Chalices","Beger Ti"
"cards","cards.chalices-page","Page of Chalices","Beger Knekt"
"cards","cards.chalices-knight","Knight of Chalices","Beger Ridder"
"cards","cards.chalices-queen","Queen of Chalices","Beger Dronning"
"cards","cards.chalices-king","King of Chalices","Beger Konge"
"cards","cards.swords-1","Ace of Swords","Sverd Ess"
"cards","cards.swords-2","Two of Swords","Sverd To"
"cards","cards.swords-3","Three of Swords","Sverd Tre"
"cards","cards.swords-4","Four of Swords","Sverd Fire"
"cards","cards.swords-5","Five of Swords","Sverd Fem"
"cards","cards.swords-6","Six of Swords","Sverd Seks"
"cards","cards.swords-7","Seven of Swords","Sverd Sju"
"cards","cards.swords-8","Eight of Swords","Sverd Åtte"
"cards","cards.swords-9","Nine of Swords","Sverd Ni"
"cards","cards.swords-10","Ten of Swords","Sverd Ti"
"cards","cards.swords-page","Page of Swords","Sverd Knekt"
"cards","cards.swords-knight","Knight of Swords","Sverd Ridder"
"cards","cards.swords-queen","Queen of Swords","Sverd Dronning"
"cards","cards.swords-king","King of Swords","Sverd Konge"
"cards","cards.pentacles-1","Ace of Pentacles","Pentakler Ess"
"cards","cards.pentacles-2","Two of Pentacles","Pentakler To"
"cards","cards.pentacles-3","Three of Pentacles","Pentakler Tre"
"cards","cards.pentacles-4","Four of Pentacles","Pentakler Fire"
"cards","cards.pentacles-5","Five of Pentacles","Pentakler Fem"
"cards","cards.pentacles-6","Six of Pentacles","Pentakler Seks"
"cards","cards.pentacles-7","Seven of Pentacles","Pentakler Sju"
"cards","cards.pentacles-8","Eight of Pentacles","Pentakler Åtte"
"cards","cards.pentacles-9","Nine of Pentacles","Pentakler Ni"
"cards","cards.pentacles-10","Ten of Pentacles","Pentakler Ti"
"cards","cards.pentacles-page","Page of Pentacles","Pentakler Knekt"
"cards","cards.pentacles-knight","Knight of Pentacles","Pentakler Ridder"
"cards","cards.pentacles-queen","Queen of Pentacles","Pentakler Dronning"
"cards","cards.pentacles-king","King of Pentacles","Pentakler Konge"
"cards","cards.wands-1","Ace of Wands","Staver Ess"
"cards","cards.wands-2","Two of Wands","Staver To"
"cards","cards.wands-3","Three of Wands","Staver Tre"
"cards","cards.wands-4","Four of Wands","Staver Fire"
"cards","cards.wands-5","Five of Wands","Staver Fem"
"cards","cards.wands-6","Six of Wands","Staver Seks"
"cards","cards.wands-7","Seven of Wands","Staver Sju"
"cards","cards.wands-8","Eight of Wands","Staver Åtte"
"cards","cards.wands-9","Nine of Wands","Staver Ni"
"cards","cards.wands-10","Ten of Wands","Staver Ti"
"cards","cards.wands-page","Page of Wands","Staver Knekt"
"cards","cards.wands-knight","Knight of Wands","Staver Ridder"
"cards","cards.wands-queen","Queen of Wands","Staver Dronning"
"cards","cards.wands-king","King of Wands","Staver Konge"
"readings","readings.arcana-0.keywords","beginnings, innocence, spontaneity, free spirit","begynnelser, uskyld, spontanitet, fri sjel"
"readings","readings.arcana-0.meaning","The Fool stands at the edge of a cliff with nothing but trust. New beginnings, a blank page, a step into the unknown. Something is about to start — and it asks you not to overthink it.","Narren står på kanten av stupet med ingenting annet enn tillit. Nye begynnelser, en blank side, et skritt ut i det ukjente. Noe er i ferd med å starte — og det ber deg ikke overtenke det."
"readings","readings.arcana-0.past","There was a leap — a moment when you chose the unknown over the safe. That decision, reckless or brave, set everything in motion.","Det var et sprang — et øyeblikk der det ukjente ble valgt over det trygge. Den avgjørelsen, dumdristig eller modig, satte alt i bevegelse."
"readings","readings.arcana-0.present","A fresh start is calling. The details aren't clear yet, and that's the point. Stop planning and take the step.","En ny start kaller. Detaljene er ikke klare ennå, og det er hele poenget. Slutt å planlegge og ta steget."
"readings","readings.arcana-0.future","Something entirely new is coming. You won't be able to prepare for it — and you won't need to. Meet it with open hands.","Noe helt nytt er på vei. Du vil ikke kunne forberede deg — og du trenger det ikke. Møt det med åpne hender."
"readings","readings.arcana-1.keywords","manifestation, willpower, skill, resourcefulness","manifestasjon, viljestyrke, ferdighet, oppfinnsomhet"
"readings","readings.arcana-1.meaning","The Magician has every tool on the table and knows exactly how to use them. This is about focus, skill, and turning intention into action. You have what you need — now use it.","Magikeren har alle verktøy på bordet og vet nøyaktig hvordan de brukes. Dette handler om fokus, ferdighet og å gjøre intensjon til handling. Du har det du trenger — nå bruk det."
"readings","readings.arcana-1.past","A time when everything clicked — skill met opportunity and something real was created. That ability hasn't gone anywhere.","En tid da alt stemte — ferdighet møtte mulighet og noe ekte ble skapt. Den evnen har ikke forsvunnet noe sted."
"readings","readings.arcana-1.present","All the pieces are in front of you. This is not the time for doubt or hesitation — it's the time to act with precision.","Alle brikkene ligger foran deg. Dette er ikke tiden for tvil eller nøling — det er tiden for å handle presist."
"readings","readings.arcana-1.future","A moment is coming when your skills will be tested and proven. What you've been learning is about to become very useful.","Et øyeblikk kommer da ferdighetene dine vil bli satt på prøve og bevist. Det du har lært er i ferd med å bli svært nyttig."
"readings","readings.arcana-2.keywords","intuition, mystery, inner knowledge, subconscious","intuisjon, mysterium, indre kunnskap, det underbevisste"
"readings","readings.arcana-2.meaning","The High Priestess sits between what's seen and what's hidden. She doesn't speak loudly — she doesn't need to. The answer is already inside you, waiting for you to get quiet enough to hear it.","Høyprestinnen sitter mellom to søyler — det synlige og det usynlige. Hun snakker ikke høyt. Svaret du leter etter er allerede inne i deg, men du må bli stille nok til å høre det."
"readings","readings.arcana-2.past","There was a time you knew something without knowing how. That gut feeling guided you well. You've second-guessed your intuition since — don't.","Det var en tid da intuisjonen talte klart, og å følge den viste seg riktig. Den indre vetskapen er der fortsatt."
"readings","readings.arcana-2.present","Stop looking for answers outside yourself. The information you need is already here — in your gut, in your dreams, in the silence between thoughts.","Noe holdes skjult, eller noe er ikke klart til å komme til overflaten ennå. Ikke press det. Vær stille, legg merke til drømmer og magefølelsen."
"readings","readings.arcana-2.future","Something hidden will surface. Not through effort, but through stillness. Pay attention to what comes to you unbidden.","Skjulte ting vil komme frem i lyset. Det som er uklart nå vil gi mening snart — stol på prosessen, selv når du ikke ser hele bildet."
"readings","readings.arcana-3.keywords","abundance, nurturing, fertility, creativity","overflod, næring, fruktbarhet, natur"
"readings","readings.arcana-3.meaning","The Empress is the garden in full bloom. She represents growth, sensuality, and the kind of creation that comes from tending something with care. What you nurture will thrive.","Keiserinnen er livet i full blomst. Vekst, komfort, kreativitet — ting er fruktbar jord akkurat nå. Hun sier: ta vare på det du elsker, og det vil vokse."
"readings","readings.arcana-3.past","A fertile period — something was growing and you helped it along. That nurturing energy, whether directed at a person or a project, produced something lasting.","En periode med vekst og overflod slo røtter som fortsatt nærer deg. Noe ble skapt eller stelt med, og det blomstret."
"readings","readings.arcana-3.present","Create. Tend. Nourish. Whatever you give your attention to right now will grow. This is not a time for austerity — let things be lush.","Det er mer tilgjengelig for deg enn du ser. Senk tempoet, ta inn skjønnheten rundt deg. Nær det som betyr noe — det er klart til å vokse."
"readings","readings.arcana-3.future","Abundance is building. Something you've been caring for is about to reward that patience. The harvest is closer than you think.","En høst er på vei. Det som er stelt med omsorg vil bære frukt. Forvent vekst, kreativitet og overflod fremover."
"readings","readings.arcana-4.keywords","authority, structure, stability, discipline","autoritet, struktur, stabilitet, lederskap"
"readings","readings.arcana-4.meaning","The Emperor builds order from chaos. Stone walls, clear rules, a firm hand. This card is about taking control — not emotionally, but structurally. Set the boundary. Make the decision.","Keiseren bygger orden fra kaos. Disiplin, grenser, klare beslutninger. Dette kortet handler om å ta styringen — ikke med aggresjon, men med den rolige sikkerheten til en som vet hva som må gjøres."
"readings","readings.arcana-4.past","Structure was imposed — by you or on you. A father figure, a system, a set of rules shaped how you operate. That framework still holds weight.","Struktur ble etablert — av deg eller for deg. Regler, disiplin, autoritet formet grunnlaget du står på nå."
"readings","readings.arcana-4.present","The situation needs leadership, not discussion. Establish order. Be the one who draws the line and holds it.","Situasjonen trenger en fast hånd. Sett grenser, ta avgjørelsen, ta ansvar. Du har autoriteten."
"readings","readings.arcana-4.future","You're moving toward a position of greater authority. The discipline you practice now is building something solid for later.","En posisjon med større stabilitet og innflytelse tar form. Grunnlaget som legges nå vil holde. Bygg med overbevisning."
"readings","readings.arcana-5.keywords","tradition, guidance, conformity, mentorship","tradisjon, visdom, mentorskap, åndelig lære"
"readings","readings.arcana-5.meaning","The Hierophant represents the wisdom that comes through lineage — teachers, traditions, institutions. Sometimes you need to learn the rules before you break them. This card says: find the teacher.","Hierofanten er vokteren av etablert visdom. En lærer, en tradisjon, et system som har bestått tidens prøve. Noen ganger er svarene ikke nye — de har blitt gitt videre i generasjoner."
"readings","readings.arcana-5.past","A mentor, a tradition, or a belief system gave you a foundation. Whether you still follow it or pushed against it, it shaped your path.","En lærer eller tradisjon ga deg et rammeverk som fortsatt former hvordan du tenker. De lærdommene — akseptert eller avvist — ble en del av deg."
"readings","readings.arcana-5.present","Seek guidance from someone who has walked this road before. There's no shame in learning from established wisdom — not everything needs to be reinvented.","Se til etablert kunnskap. En mentor, en praksis, en utprøvd vei har det du trenger akkurat nå. Ikke alt trenger å finnes opp på nytt."
"readings","readings.arcana-5.future","You'll be called to pass on what you know. The role of teacher or guide is forming ahead of you, whether you planned for it or not.","Rollen som lærer eller veiviser nærmer seg. Erfaringen du har samlet forbereder seg på å tjene andre."
"readings","readings.arcana-6.keywords","love, choice, union, values","kjærlighet, valg, forening, tiltrekning"
"readings","readings.arcana-6.meaning","The Lovers is less about romance and more about choice. Two paths, two forces, two truths — and you must choose. The real question: what do you value enough to commit to?","Elskerne handler ikke bare om romantikk — det handler om valg som treffer hjertet. To krefter møtes, og du må velge med ærlighet. Det som er ekte krever at du tør å være sårbar."
"readings","readings.arcana-6.past","A defining choice was made — one that aligned you with someone or something at a deep level. That decision still echoes.","Et valg ble gjort som fulgte hjertet, ikke hodet. Den forbindelsen eller avgjørelsen endret kursen din mer enn du kanskje innså."
"readings","readings.arcana-6.present","You're facing a choice that touches who you are at the core. Don't choose what's easy. Choose what's true.","Et valg som berører kjernen av deg venter. Ikke velg det trygge for trygghetens skyld — velg det som stemmer med den du faktisk er."
"readings","readings.arcana-6.future","A significant union or decision is approaching. It will ask you to be honest about what you actually want — not what you think you should want.","En dyp forbindelse eller et avgjørende valg nærmer seg. Det som kommer vil kreve ærlighet — og belønne det."
"readings","readings.arcana-7.keywords","determination, willpower, victory, control","viljestyrke, besluttsomhet, triumf, kontroll"
"readings","readings.arcana-7.meaning","The Chariot moves forward through sheer force of will. Two opposing forces, one driver. This isn't gentle progress — it's controlled aggression toward a goal. Hold the reins tight.","Vognen kjører fremover med rå vilje. Motstridende krefter trekker i deg, men du holder tømmene. Dette handler om å mestre indre motsetninger og drive fremover uansett."
"readings","readings.arcana-7.past","You pushed through something by sheer determination. The victory wasn't handed to you — you wrestled it into existence.","Du tvang noe gjennom med ren viljestyrke. Den seieren — hardt vunnet og dypt fortjent — viste hva du er laget av."
"readings","readings.arcana-7.present","Conflict is pulling you in two directions. The only way forward is to master both forces and drive. Hesitate and you stall.","Krefter drar i forskjellige retninger. Hold kursen. Du har kontrollen — bruk den. Seier er innen rekkevidde hvis du ikke mister fokus."
"readings","readings.arcana-7.future","A breakthrough is coming, but it won't be effortless. You'll need every ounce of focus and willpower. The good news: you have it.","Et gjennombrudd nærmer seg. Disiplinen og viljen du bygger nå vil bære deg over målstreken."
"readings","readings.arcana-8.keywords","justice, fairness, truth, accountability","rettferdighet, sannhet, konsekvenser, ansvarlighet"
"readings","readings.arcana-8.meaning","Justice holds the scales and the sword. This is about cause and effect, plain and simple. What you put out comes back. The truth will be weighed — and the verdict will be fair.","Rettferdighet veier med nøyaktig presisjon. Hver handling har sin konsekvens, hver sannhet krever å bli sett. Balansen blir gjenopprettet — enten du er klar eller ikke."
"readings","readings.arcana-8.past","A decision was made that balanced the scales. Something was settled — fairly or not — and the consequences played out as they should.","En avgjørelse eller handling satte i gang en kjede av konsekvenser som førte deg hit. Vektskålen ble tipset, og universet har justert siden."
"readings","readings.arcana-8.present","Be honest. With yourself, with others. A situation demands fairness and clear-eyed truth. The scales are watching.","Sannheten i en sak blir tydelig. Vær ærlig med deg selv og andre — integritet er ditt sterkeste våpen akkurat nå."
"readings","readings.arcana-8.future","A reckoning is coming — not punishment, but balance. What's been out of alignment will be corrected. Trust the process.","Et oppgjør nærmer seg — ikke som straff, men som balanse. Resultatene av valgene dine vil materialisere seg. Stol på at det du fortjener er på vei."
"readings","readings.arcana-9.keywords","solitude, introspection, guidance, wisdom","introspeksjon, ensomhet, indre veiledning, visdom"
"readings","readings.arcana-9.meaning","The Hermit climbs alone, lantern in hand. This isn't loneliness — it's chosen solitude. Sometimes the answers only come when you step away from the noise and walk your own path for a while.","Eremiten trekker seg tilbake fra verden for å finne lyset inni. I stillheten dukker sannheter opp som aldri kan høres i støyen. Noen ganger er å være alene det modigste du kan gjøre."
"readings","readings.arcana-9.past","A period of withdrawal taught you something no one else could. That time alone — voluntary or not — gave you clarity you still carry.","En periode med tilbaketrekning ga deg innsikt som den travle verden aldri kunne tilby. Det indre lyset du fant i mørket lyser for deg fortsatt."
"readings","readings.arcana-9.present","Pull back. The crowd doesn't have your answers right now. Take the lantern and go inward. What you find in the silence will be worth the solitude.","Trekk deg tilbake fra støyen. Svarene du leter etter kommer ikke fra andre — de kommer innenfra. Gi deg selv tid til stille refleksjon."
"readings","readings.arcana-9.future","A period of necessary solitude is ahead. It may not feel comfortable, but it will give you the clarity you've been missing.","En periode med meningsfull ensomhet ligger foran. Det er ikke ensomt — det er opplysende. Du blir trukket innover for å finne en sannhet som endrer alt."
"readings","readings.arcana-10.keywords","cycles, fate, turning point, change","sykluser, skjebne, vendepunkt, forandring"
"readings","readings.arcana-10.meaning","The Wheel turns — always has, always will. What's up comes down, what's down comes up. This card is a reminder that nothing is permanent. The only constant is the turning itself.","Hjulet snurrer, som det alltid har gjort. Ingenting er fast — lykken stiger og faller. Dette er et vendepunkt, styrt av krefter langt større enn deg. Tilpass deg eller bli dratt med."
"readings","readings.arcana-10.past","A major shift changed everything — fortune turned and your circumstances flipped. That cycle completed itself whether you were ready or not.","En dramatisk vending snudde verden din på hodet. Den skjebnesvangre hendelsen — enten den føltes som hell eller uhell — var alltid del av noe større."
"readings","readings.arcana-10.present","Things are in motion. You can't stop the wheel, but you can choose how you ride it. Something is shifting right now.","Hjulet er i bevegelse. Forandring er her, uunngåelig og kraftig. Motstand er nytteløs — plasser deg heller slik at du kan ri bølgen."
"readings","readings.arcana-10.future","A turn of fate is approaching. Luck, circumstance, timing — something is about to rotate in your favor. Be ready to move.","Et betydelig skifte i lykken nærmer seg. Syklusen er i ferd med å snu, og nye omstendigheter vil endre landskapet ditt. Omfavn dreiningen."
"readings","readings.arcana-11.keywords","courage, patience, inner strength, compassion","mot, tålmodighet, indre styrke, medfølelse"
"readings","readings.arcana-11.meaning","Strength isn't the lion — it's the woman with her hands on its jaws. Quiet power, gentle control, the kind of courage that doesn't need to roar. Master yourself before you try to master anything else.","Ekte styrke er ikke rå kraft — det er den stille hånden som temmer løven. Tålmodighet, utholdenhet, medfølelse. Du overvinner ikke dette med makt, men med ro."
"readings","readings.arcana-11.past","You faced something that required deep inner strength — not force, but endurance. That quiet courage got you through.","Du møtte noe som krevde enorm indre styrke — ikke aggresjon, men tålmodighet og stille mot. Den roen du fant den gangen er fortsatt din største ressurs."
"readings","readings.arcana-11.present","The situation calls for patience, not power. Meet the challenge gently but firmly. You're stronger than the thing you're afraid of.","Utfordringen foran deg ber ikke om makt, men om nåde. Møt vanskeligheter med tålmodighet, frykt med medfølelse, kaos med ro. Din indre styrke er enorm."
"readings","readings.arcana-11.future","You'll be tested — not by an external enemy, but by your own impulses. The strength you need is already inside you. Trust it.","Du er i ferd med å bli noe bemerkelsesverdig robust. Styrken du utvikler nå — stille, dyp, urokkelig — vil bære deg gjennom det som kommer."
"readings","readings.arcana-12.keywords","surrender, new perspective, letting go, pause","overgivelse, nytt perspektiv, å slippe taket, pause"
"readings","readings.arcana-12.meaning","The Hanged Man hangs by choice. The world looks different upside down — and that's the point. This is voluntary suspension, a pause that changes everything. Stop struggling and see what the stillness shows you.","Den hengte mannen ser verden fra en helt annen vinkel. Hengende mellom handling og stillhet oppdager han at fremgang noen ganger krever fullstendig overgivelse. Slutt å kjempe."
